"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"28084","2008-09-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"28093","2008-09-16 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29067","2009-04-30 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29071","2009-05-09 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29073","2009-05-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29075","2009-05-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29079","2009-05-26 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29082","2009-05-26 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29084","2009-06-01 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29088","2009-06-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29097","2009-06-08 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29102","2009-07-15 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29103","2009-07-15 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29104","2009-07-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29104B","2009-08-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29105","2009-07-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29108","2009-09-07 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29112","2009-07-17 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29116","2009-07-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29118","2009-07-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29119","2009-07-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29120","2009-07-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29121","2009-07-23 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29122","2009-07-23 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29131","2009-07-27 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29132","2009-07-27 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29133","2009-07-27 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"29134","2009-07-31 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
