"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"D8001","1999-03-18 00:00:00","1999-02-16 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","6.5","","1998-06-21 00:00:00","","False",""
"4811","1999-02-01 00:00:00","1999-01-02 00:00:00","1998-05-14 00:00:00","1998-12-15 00:00:00","7.6","0.0353488372093023","215","215","","","","","","1998-12-18 00:00:00","21","291","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"D8057","1999-02-01 00:00:00","1999-01-02 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"8551","1999-04-02 00:00:00","1999-03-03 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","81","351","0","5.5","Monta Libre","1998-07-06 00:00:00","","False",""
"8554","1999-02-16 00:00:00","1999-01-17 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","7.5","","1998-05-22 00:00:00","","False",""
"7003","1999-03-03 00:00:00","1999-02-01 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","144","414","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"4863","1999-03-03 00:00:00","1999-02-01 00:00:00","","","548.59","3.97528985507246","138","138","","","","","","1998-12-18 00:00:00","145","415","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"2829","1999-02-01 00:00:00","1999-01-02 00:00:00","","","1168.07633333333","2.91290856192851","401","401","","","","","","1998-12-18 00:00:00","137","407","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"7510","1999-04-17 00:00:00","1999-03-18 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","0","0","0","5.5","","1998-07-21 00:00:00","","False",""
"557","1999-02-16 00:00:00","1999-01-17 00:00:00","","","","","","","","","","","","1998-12-18 00:00:00","103","373","0","7","Monta Libre","1998-05-22 00:00:00","","False",""
