"Madre","Serie","Padre","Nombre","Tipologia","Pesodestete","Fecha","Caso","fecs"
"1591","D8056","","","VACA VACIA","0","1995-05-08 00:00:00","PARTO","1998-06-08 00:00:00"
"9586","D8057","","PATO NEGRO","VACA VACIA","0","1995-05-09 00:00:00","PARTO",""
"1571","D8058","","CHAMUSCAO","VACA PREÑADA","0","1995-05-12 00:00:00","PARTO",""
"1541","D8059","","RESPLANDOR","VACA PREÑADA","0","1995-05-13 00:00:00","PARTO",""
"196","D8060","","COQUITO","VACA VACIA","0","1995-05-21 00:00:00","PARTO","1999-03-17 00:00:00"
"1602","D8061","","","MAUTE","0","1995-05-20 00:00:00","PARTO","1998-10-27 00:00:00"
"7599","D8062","","","MAUTE","0","1995-05-26 00:00:00","PARTO","1997-09-15 00:00:00"
"63","D8063","","","MAUTE","0","1995-05-27 00:00:00","PARTO","1997-09-15 00:00:00"
"459","D8065","","","MAUTE","0","1995-05-29 00:00:00","PARTO","1997-09-15 00:00:00"
"204","D8066","","","MAUTE","0","1995-05-29 00:00:00","PARTO","1999-03-08 00:00:00"
"584","D8067","","","MAUTE","0","1995-06-02 00:00:00","PARTO","1997-09-15 00:00:00"
"1557","D8068","","PARIAGUAN","VACA PROD.VACIA","0","1995-06-05 00:00:00","PARTO",""
"7003","D8069","","","MAUTE","0","1995-06-08 00:00:00","PARTO","1998-10-01 00:00:00"
"1572","D8070","","MATO DE AGUA","VACA VACIA","0","1995-06-11 00:00:00","PARTO",""
"6505","D8071","","PORCELANA","VACA VACIA","0","1995-06-11 00:00:00","PARTO","1999-03-17 00:00:00"
"2818","D8072","","FLORERO","VACA VACIA","0","1995-06-11 00:00:00","PARTO",""
"2823","D8073","","","VACA PREÑADA","0","1995-06-13 00:00:00","PARTO",""
"2845","D8074","","","MAUTE","0","1995-06-14 00:00:00","PARTO","1998-01-18 00:00:00"
"1590","D8075","","CRUCIGRAMA","VACA VACIA","0","1995-06-21 00:00:00","PARTO",""
"2828","D8076","","VENEZUELA","VACA VACIA","0","1995-06-22 00:00:00","PARTO",""
"1539","D8077","","MANZANARE","VACA VACIA","0","1995-06-22 00:00:00","PARTO",""
"577","D8078","","","MAUTE","0","1995-06-22 00:00:00","PARTO","1997-08-13 00:00:00"
"369","D8079","","","MAUTE","0","1995-06-22 00:00:00","PARTO","1999-03-08 00:00:00"
"2832","D8080","","","MAUTE","0","1995-06-25 00:00:00","PARTO","1997-09-15 00:00:00"
