"SERIE","FECHA","LTAM","LTPM","LOTE","DIFDIA","LactanciaParcial","LactanciaAcumulada","DiasAcumulados","PromedioAcumulado","LactanciaAjustada","LactanciaEstimada","IndiceLechero","IndiceLecheroAjustado","Pario","LTTOTAL","Historia","NCICLO"
"2808","1999-04-07 00:00:00","8.3","0","","6","49.8","1292.9805","151","8.56278476821192","0","2654.46327814569","0","0","True","8.3","False",""
"2808","1999-04-15 00:00:00","5.5","0","","8","44","1336.9805","159","8.40868238993711","0","2606.6915408805","0","0","True","5.5","False",""
"2808","1999-05-15 00:00:00","6.1","0","","9","54.9","1511.0805","189","7.99513492063492","0","2478.49182539683","0","0","True","6.1","False",""
"2808","1999-04-22 00:00:00","5.6","0","","7","39.2","1376.1805","166","8.29024397590361","0","2569.97563253012","0","0","True","5.6","False",""
"2808","1999-04-30 00:00:00","5.5","0","","8","44","1420.1805","174","8.16195689655172","0","2530.20663793103","0","0","True","5.5","False",""
"2814","2000-02-18 00:00:00","5","0","","36574","-931844.563333333","1398.9265","468","2.98915918803419","448.373878205128","926.639348290598","0","0","True","5","False",""
"2814","1998-11-07 00:00:00","5.8","0","","0","5.8","5.8","0","0","0","0","0","0","True","5.8","False",""
"2814","1999-01-09 00:00:00","3.9","0","","63","219.9015","225.7015","63","3.58256349206349","0","1110.59468253968","0","0","True","3.9","False",""
"2814","1999-01-29 00:00:00","3.6","0","","20","72","297.7015","83","3.58676506024096","0","1111.8971686747","0","0","True","3.6","False",""
"2814","1999-02-05 00:00:00","3.4","0","","7","23.8","321.5015","90","3.57223888888889","0","1107.39405555556","0","0","True","3.4","False",""
"2814","1999-05-06 00:00:00","3.5","0","","6","21","623.8015","180","3.46556388888889","0","1074.32480555556","0","0","True","3.5","False",""
"2814","1999-02-13 00:00:00","4","0","","8","32","353.5015","98","3.60715816326531","0","1118.21903061224","0","0","True","4","False",""
"2814","1999-02-20 00:00:00","4","0","","7","28","381.5015","105","3.63334761904762","0","1126.33776190476","0","0","True","4","False",""
"2814","1999-02-27 00:00:00","4.8","0","","7","33.6","415.1015","112","3.70626339285714","0","1148.94165178571","0","0","True","4.8","False",""
"2814","1999-04-15 00:00:00","2","0","","8","16","572.8015","159","3.6025251572327","0","1116.78279874214","0","0","True","2","False",""
"2814","1999-03-13 00:00:00","4.3","0","","14","60.2","475.3015","126","3.77223412698413","0","1169.39257936508","0","0","True","4.3","False",""
"2814","1999-03-19 00:00:00","3.6","0","","6","21.6","496.9015","132","3.7644053030303","0","1166.96564393939","0","0","True","3.6","False",""
"2814","1999-03-26 00:00:00","3.5","0","","7","24.5","521.4015","139","3.75108992805755","0","1162.83787769784","0","0","True","3.5","False",""
"2814","1999-04-01 00:00:00","3","0","","6","18","539.4015","145","3.72001034482759","0","1153.20320689655","0","0","True","3","False",""
